Stat,Rank,Value,Team,Year
Scoring Offense,41,32.8,Duke Blue Devils,2014
Total Defense,82,418.0,Duke Blue Devils,2014
Rushing Defense,75,174.1,Duke Blue Devils,2014
Passing Yards Allowed,82,243.9,Duke Blue Devils,2014
Team Passing Efficiency Defense,74,129.84,Duke Blue Devils,2014
Scoring Defense,63,26.6,Duke Blue Devils,2014
Turnover Margin,60,0.07,Duke Blue Devils,2014
3rd Down Conversion Pct,T-67,0.395,Duke Blue Devils,2014
4th Down Conversion Pct,8,0.696,Duke Blue Devils,2014
3rd Down Conversion Pct Defense,46,0.373,Duke Blue Devils,2014
4th Down Conversion Pct Defense,70,0.536,Duke Blue Devils,2014
Red Zone Offense,39,0.862,Duke Blue Devils,2014
Red Zone Defense,T-52,0.822,Duke Blue Devils,2014
Net Punting,41,37.77,Duke Blue Devils,2014
Punt Returns,3,14.59,Duke Blue Devils,2014
Kickoff Returns,12,24.72,Duke Blue Devils,2014
First Downs Offense,36,298,Duke Blue Devils,2014
First Downs Defense,T-121,311,Duke Blue Devils,2014
Fewest Penalties Per Game,25,4.57,Duke Blue Devils,2014
Fewest Penalty Yards Per Game,32,40.71,Duke Blue Devils,2014
Time of Possession,84,29:03,Duke Blue Devils,2014
Total Offense,25,468.2,East Carolina Pirates,2014
Rushing Offense,91,140.1,East Carolina Pirates,2014
Passing Offense,11,328.1,East Carolina Pirates,2014
Team Passing Efficiency,21,150.58,East Carolina Pirates,2014
Scoring Offense,8,40.2,East Carolina Pirates,2014
Total Defense,36,368.8,East Carolina Pirates,2014
Rushing Defense,13,116.7,East Carolina Pirates,2014
Passing Yards Allowed,93,252.1,East Carolina Pirates,2014
Team Passing Efficiency Defense,42,121.10,East Carolina Pirates,2014
Scoring Defense,49,24.8,East Carolina Pirates,2014
Turnover Margin,T-21,0.62,East Carolina Pirates,2014
3rd Down Conversion Pct,7,0.510,East Carolina Pirates,2014
4th Down Conversion Pct,5,0.706,East Carolina Pirates,2014
3rd Down Conversion Pct Defense,107,0.456,East Carolina Pirates,2014
4th Down Conversion Pct Defense,62,0.520,East Carolina Pirates,2014
Red Zone Offense,45,0.853,East Carolina Pirates,2014
Red Zone Defense,19,0.756,East Carolina Pirates,2014
Net Punting,71,36.64,East Carolina Pirates,2014
Punt Returns,39,10.27,East Carolina Pirates,2014
Kickoff Returns,7,25.11,East Carolina Pirates,2014
First Downs Offense,10,346,East Carolina Pirates,2014
First Downs Defense,T-64,266,East Carolina Pirates,2014
Fewest Penalties Per Game,T-55,5.31,East Carolina Pirates,2014
Fewest Penalty Yards Per Game,50,44.92,East Carolina Pirates,2014
Time of Possession,76,29:19,East Carolina Pirates,2014
Total Offense,109,336.1,Eastern Mich. Eagles,2014
Rushing Offense,75,158.0,Eastern Mich. Eagles,2014
Passing Offense,104,178.1,Eastern Mich. Eagles,2014
Team Passing Efficiency,105,111.82,Eastern Mich. Eagles,2014
Scoring Offense,T-112,18.8,Eastern Mich. Eagles,2014
Total Defense,118,510.8,Eastern Mich. Eagles,2014
Rushing Defense,121,258.3,Eastern Mich. Eagles,2014
Passing Yards Allowed,94,252.6,Eastern Mich. Eagles,2014
Team Passing Efficiency Defense,119,166.83,Eastern Mich. Eagles,2014
Scoring Defense,121,45.2,Eastern Mich. Eagles,2014
Turnover Margin,120,-1.00,Eastern Mich. Eagles,2014
3rd Down Conversion Pct,104,0.340,Eastern Mich. Eagles,2014
4th Down Conversion Pct,35,0.571,Eastern Mich. Eagles,2014
3rd Down Conversion Pct Defense,116,0.474,Eastern Mich. Eagles,2014
4th Down Conversion Pct Defense,121,0.800,Eastern Mich. Eagles,2014
Red Zone Offense,T-106,0.750,Eastern Mich. Eagles,2014
Red Zone Defense,98,0.870,Eastern Mich. Eagles,2014
Net Punting,122,32.87,Eastern Mich. Eagles,2014
Punt Returns,75,7.38,Eastern Mich. Eagles,2014
Kickoff Returns,103,18.94,Eastern Mich. Eagles,2014
First Downs Offense,T-102,222,Eastern Mich. Eagles,2014
First Downs Defense,T-89,282,Eastern Mich. Eagles,2014
Fewest Penalties Per Game,T-51,5.25,Eastern Mich. Eagles,2014
Fewest Penalty Yards Per Game,42,42.58,Eastern Mich. Eagles,2014
Time of Possession,50,30:21,Eastern Mich. Eagles,2014
Total Offense,123,219.0,FIU Panthers,2014
Rushing Offense,120,76.3,FIU Panthers,2014
Passing Offense,116,142.8,FIU Panthers,2014
Team Passing Efficiency,115,103.51,FIU Panthers,2014
Scoring Offense,T-122,9.8,FIU Panthers,2014
Total Defense,94,429.7,FIU Panthers,2014
Rushing Defense,99,205.4,FIU Panthers,2014
Passing Yards Allowed,54,224.3,FIU Panthers,2014
Team Passing Efficiency Defense,116,161.02,FIU Panthers,2014
Scoring Defense,110,37.0,FIU Panthers,2014
Turnover Margin,T-97,-0.50,FIU Panthers,2014
3rd Down Conversion Pct,123,0.225,FIU Panthers,2014
4th Down Conversion Pct,88,0.435,FIU Panthers,2014
3rd Down Conversion Pct Defense,64,0.397,FIU Panthers,2014
4th Down Conversion Pct Defense,103,0.636,FIU Panthers,2014
Red Zone Offense,116,0.720,FIU Panthers,2014
Red Zone Defense,106,0.885,FIU Panthers,2014
Net Punting,85,36.02,FIU Panthers,2014
Punt Returns,48,9.00,FIU Panthers,2014
Kickoff Returns,73,21.00,FIU Panthers,2014
First Downs Offense,T-121,156,FIU Panthers,2014
First Downs Defense,T-51,256,FIU Panthers,2014
Fewest Penalties Per Game,T-31,4.75,FIU Panthers,2014
Fewest Penalty Yards Per Game,34,41.17,FIU Panthers,2014
Time of Possession,40,30:52,FIU Panthers,2014
Total Offense,82,381.3,Fla. Atlantic Owls,2014
Rushing Offense,47,182.9,Fla. Atlantic Owls,2014
Passing Offense,91,198.3,Fla. Atlantic Owls,2014
Team Passing Efficiency,89,120.88,Fla. Atlantic Owls,2014
Scoring Offense,78,26.4,Fla. Atlantic Owls,2014
Total Defense,11,325.9,Fla. Atlantic Owls,2014
Rushing Defense,65,164.4,Fla. Atlantic Owls,2014
Passing Yards Allowed,2,161.5,Fla. Atlantic Owls,2014
Team Passing Efficiency Defense,3,97.41,Fla. Atlantic Owls,2014
Scoring Defense,26,22.3,Fla. Atlantic Owls,2014
Turnover Margin,T-79,-0.25,Fla. Atlantic Owls,2014
3rd Down Conversion Pct,T-62,0.400,Fla. Atlantic Owls,2014
4th Down Conversion Pct,49,0.533,Fla. Atlantic Owls,2014
3rd Down Conversion Pct Defense,16,0.335,Fla. Atlantic Owls,2014
4th Down Conversion Pct Defense,37,0.438,Fla. Atlantic Owls,2014
Red Zone Offense,T-77,0.800,Fla. Atlantic Owls,2014
Red Zone Defense,83,0.848,Fla. Atlantic Owls,2014
Net Punting,44,37.57,Fla. Atlantic Owls,2014
Punt Returns,91,6.18,Fla. Atlantic Owls,2014
Kickoff Returns,64,21.48,Fla. Atlantic Owls,2014
First Downs Offense,92,234,Fla. Atlantic Owls,2014
First Downs Defense,8,208,Fla. Atlantic Owls,2014
Fewest Penalties Per Game,T-28,4.67,Fla. Atlantic Owls,2014
Fewest Penalty Yards Per Game,29,40.08,Fla. Atlantic Owls,2014
Time of Possession,30,31:40,Fla. Atlantic Owls,2014
Total Offense,6,519.1,Florida St. Seminoles,2014
Rushing Offense,28,203.1,Florida St. Seminoles,2014
Passing Offense,14,315.9,Florida St. Seminoles,2014
Team Passing Efficiency,1,174.69,Florida St. Seminoles,2014
Scoring Offense,2,51.6,Florida St. Seminoles,2014
Total Defense,3,281.4,Florida St. Seminoles,2014
Rushing Defense,18,124.8,Florida St. Seminoles,2014
Passing Yards Allowed,1,156.6,Florida St. Seminoles,2014
Team Passing Efficiency Defense,2,93.77,Florida St. Seminoles,2014
Scoring Defense,1,12.1,Florida St. Seminoles,2014
Turnover Margin,3,1.21,Florida St. Seminoles,2014
3rd Down Conversion Pct,3,0.522,Florida St. Seminoles,2014
4th Down Conversion Pct,4,0.750,Florida St. Seminoles,2014
3rd Down Conversion Pct Defense,10,0.322,Florida St. Seminoles,2014
4th Down Conversion Pct Defense,53,0.500,Florida St. Seminoles,2014
Red Zone Offense,1,0.973,Florida St. Seminoles,2014
Red Zone Defense,24,0.767,Florida St. Seminoles,2014
Net Punting,111,34.48,Florida St. Seminoles,2014
Punt Returns,41,10.00,Florida St. Seminoles,2014
Kickoff Returns,1,28.16,Florida St. Seminoles,2014
First Downs Offense,7,357,Florida St. Seminoles,2014
First Downs Defense,17,232,Florida St. Seminoles,2014
Fewest Penalties Per Game,68,5.64,Florida St. Seminoles,2014
Fewest Penalty Yards Per Game,75,49.57,Florida St. Seminoles,2014
Time of Possession,71,29:24,Florida St. Seminoles,2014
Total Offense,3,547.8,Fresno St. Bulldogs,2014
Rushing Offense,78,153.0,Fresno St. Bulldogs,2014
Passing Offense,1,394.8,Fresno St. Bulldogs,2014
Team Passing Efficiency,16,153.51,Fresno St. Bulldogs,2014
Scoring Offense,6,43.4,Fresno St. Bulldogs,2014
Total Defense,95,430.8,Fresno St. Bulldogs,2014
Rushing Defense,T-41,148.2,Fresno St. Bulldogs,2014
Passing Yards Allowed,117,282.6,Fresno St. Bulldogs,2014
Team Passing Efficiency Defense,93,139.61,Fresno St. Bulldogs,2014
Scoring Defense,86,30.3,Fresno St. Bulldogs,2014
Turnover Margin,T-48,0.15,Fresno St. Bulldogs,2014
3rd Down Conversion Pct,48,0.423,Fresno St. Bulldogs,2014
4th Down Conversion Pct,17,0.656,Fresno St. Bulldogs,2014
3rd Down Conversion Pct Defense,40,0.367,Fresno St. Bulldogs,2014
4th Down Conversion Pct Defense,T-53,0.500,Fresno St. Bulldogs,2014
Red Zone Offense,53,0.843,Fresno St. Bulldogs,2014
Red Zone Defense,T-94,0.867,Fresno St. Bulldogs,2014
Net Punting,8,40.66,Fresno St. Bulldogs,2014
Punt Returns,24,11.58,Fresno St. Bulldogs,2014
Kickoff Returns,101,19.11,Fresno St. Bulldogs,2014
First Downs Offense,2,370,Fresno St. Bulldogs,2014
First Downs Defense,T-64,266,Fresno St. Bulldogs,2014
Fewest Penalties Per Game,T-49,5.23,Fresno St. Bulldogs,2014
Fewest Penalty Yards Per Game,84,52.46,Fresno St. Bulldogs,2014
Time of Possession,100,28:22,Fresno St. Bulldogs,2014
Total Offense,17,484.2,Georgia  Bulldogs,2014
Rushing Offense,65,169.9,Georgia  Bulldogs,2014
Passing Offense,15,314.2,Georgia  Bulldogs,2014
Team Passing Efficiency,14,155.65,Georgia  Bulldogs,2014
Scoring Offense,21,36.7,Georgia  Bulldogs,2014
Total Defense,45,375.5,Georgia  Bulldogs,2014
Rushing Defense,41,148.2,Georgia  Bulldogs,2014
Passing Yards Allowed,60,227.4,Georgia  Bulldogs,2014
Team Passing Efficiency Defense,84,134.74,Georgia  Bulldogs,2014
Scoring Defense,78,29.0,Georgia  Bulldogs,2014
Turnover Margin,102,-0.54,Georgia  Bulldogs,2014
3rd Down Conversion Pct,53,0.418,Georgia  Bulldogs,2014
4th Down Conversion Pct,30,0.591,Georgia  Bulldogs,2014
3rd Down Conversion Pct Defense,66,0.399,Georgia  Bulldogs,2014
4th Down Conversion Pct Defense,T-103,0.636,Georgia  Bulldogs,2014
Red Zone Offense,37,0.863,Georgia  Bulldogs,2014
Red Zone Defense,86,0.854,Georgia  Bulldogs,2014
Net Punting,20,39.20,Georgia  Bulldogs,2014
Punt Returns,122,2.92,Georgia  Bulldogs,2014
Kickoff Returns,108,18.60,Georgia  Bulldogs,2014
First Downs Offense,18,324,Georgia  Bulldogs,2014
First Downs Defense,T-40,252,Georgia  Bulldogs,2014
Fewest Penalties Per Game,89,6.38,Georgia  Bulldogs,2014
Fewest Penalty Yards Per Game,67,47.46,Georgia  Bulldogs,2014
Time of Possession,72,29:22,Georgia  Bulldogs,2014
Total Offense,57,416.0,Hawaii  Rainbow Warriors,2014
Rushing Offense,113,114.6,Hawaii  Rainbow Warriors,2014
Passing Offense,19,301.4,Hawaii  Rainbow Warriors,2014
Team Passing Efficiency,72,126.81,Hawaii  Rainbow Warriors,2014
Scoring Offense,72,27.4,Hawaii  Rainbow Warriors,2014
Total Defense,115,494.7,Hawaii  Rainbow Warriors,2014
Rushing Defense,104,213.6,Hawaii  Rainbow Warriors,2014
Passing Yards Allowed,116,281.1,Hawaii  Rainbow Warriors,2014
Team Passing Efficiency Defense,99,144.82,Hawaii  Rainbow Warriors,2014
Scoring Defense,113,38.8,Hawaii  Rainbow Warriors,2014
Turnover Margin,T-112,-0.83,Hawaii  Rainbow Warriors,2014
3rd Down Conversion Pct,111,0.323,Hawaii  Rainbow Warriors,2014
4th Down Conversion Pct,83,0.444,Hawaii  Rainbow Warriors,2014
3rd Down Conversion Pct Defense,85,0.418,Hawaii  Rainbow Warriors,2014
4th Down Conversion Pct Defense,64,0.524,Hawaii  Rainbow Warriors,2014
Red Zone Offense,T-106,0.750,Hawaii  Rainbow Warriors,2014
Red Zone Defense,T-108,0.887,Hawaii  Rainbow Warriors,2014
Net Punting,25,38.76,Hawaii  Rainbow Warriors,2014
Punt Returns,72,7.44,Hawaii  Rainbow Warriors,2014
Kickoff Returns,74,20.96,Hawaii  Rainbow Warriors,2014
First Downs Offense,70,261,Hawaii  Rainbow Warriors,2014
First Downs Defense,116,301,Hawaii  Rainbow Warriors,2014
Fewest Penalties Per Game,108,7.33,Hawaii  Rainbow Warriors,2014
Fewest Penalty Yards Per Game,112,64.75,Hawaii  Rainbow Warriors,2014
Time of Possession,117,26:38,Hawaii  Rainbow Warriors,2014
Total Offense,55,419.5,Houston  Cougars,2014
Rushing Offense,92,139.0,Houston  Cougars,2014
Passing Offense,26,280.5,Houston  Cougars,2014
Team Passing Efficiency,58,132.11,Houston  Cougars,2014
Scoring Offense,38,33.2,Houston  Cougars,2014
Total Defense,79,415.8,Houston  Cougars,2014
Rushing Defense,43,149.0,Houston  Cougars,2014
Passing Yards Allowed,108,266.8,Houston  Cougars,2014
Team Passing Efficiency Defense,34,119.43,Houston  Cougars,2014
Scoring Defense,20,21.8,Houston  Cougars,2014
Turnover Margin,1,1.92,Houston  Cougars,2014
3rd Down Conversion Pct,93,0.356,Houston  Cougars,2014
4th Down Conversion Pct,122,0.235,Houston  Cougars,2014
3rd Down Conversion Pct Defense,23,0.344,Houston  Cougars,2014
4th Down Conversion Pct Defense,80,0.560,Houston  Cougars,2014
Red Zone Offense,58,0.831,Houston  Cougars,2014
Red Zone Defense,18,0.755,Houston  Cougars,2014
Net Punting,3,41.37,Houston  Cougars,2014
Punt Returns,113,3.65,Houston  Cougars,2014
Kickoff Returns,5,25.26,Houston  Cougars,2014
First Downs Offense,51,282,Houston  Cougars,2014
First Downs Defense,T-103,290,Houston  Cougars,2014
Fewest Penalties Per Game,114,7.54,Houston  Cougars,2014
Fewest Penalty Yards Per Game,115,67.77,Houston  Cougars,2014
Time of Possession,121,25:42,Houston  Cougars,2014
Total Offense,90,368.3,Idaho  Vandals,2014
Rushing Offense,96,137.5,Idaho  Vandals,2014
Passing Offense,65,230.8,Idaho  Vandals,2014
Team Passing Efficiency,102,113.25,Idaho  Vandals,2014
Scoring Offense,115,18.2,Idaho  Vandals,2014
Total Defense,121,529.4,Idaho  Vandals,2014
Rushing Defense,T-104,213.6,Idaho  Vandals,2014
Passing Yards Allowed,122,315.8,Idaho  Vandals,2014
Team Passing Efficiency Defense,117,163.19,Idaho  Vandals,2014
Scoring Defense,123,46.8,Idaho  Vandals,2014
Turnover Margin,T-107,-0.67,Idaho  Vandals,2014
3rd Down Conversion Pct,109,0.330,Idaho  Vandals,2014
4th Down Conversion Pct,86,0.441,Idaho  Vandals,2014
3rd Down Conversion Pct Defense,114,0.468,Idaho  Vandals,2014
4th Down Conversion Pct Defense,112,0.684,Idaho  Vandals,2014
Red Zone Offense,106,0.750,Idaho  Vandals,2014
Red Zone Defense,68,0.836,Idaho  Vandals,2014
Net Punting,6,40.76,Idaho  Vandals,2014
Punt Returns,99,5.46,Idaho  Vandals,2014
Kickoff Returns,78,20.65,Idaho  Vandals,2014
First Downs Offense,96,231,Idaho  Vandals,2014
First Downs Defense,121,311,Idaho  Vandals,2014
Fewest Penalties Per Game,90,6.42,Idaho  Vandals,2014
Fewest Penalty Yards Per Game,80,50.67,Idaho  Vandals,2014
Time of Possession,36,31:15,Idaho  Vandals,2014
Total Offense,46,426.7,Illinois  Fighting Illini,2014
Rushing Offense,T-92,139.0,Illinois  Fighting Illini,2014
Passing Offense,22,287.7,Illinois  Fighting Illini,2014
Team Passing Efficiency,35,140.63,Illinois  Fighting Illini,2014
Scoring Offense,61,29.7,Illinois  Fighting Illini,2014
Total Defense,110,481.5,Illinois  Fighting Illini,2014
Rushing Defense,116,238.6,Illinois  Fighting Illini,2014
Passing Yards Allowed,81,242.9,Illinois  Fighting Illini,2014
Team Passing Efficiency Defense,112,156.03,Illinois  Fighting Illini,2014
Scoring Defense,104,35.4,Illinois  Fighting Illini,2014
Turnover Margin,T-112,-0.83,Illinois  Fighting Illini,2014
3rd Down Conversion Pct,16,0.476,Illinois  Fighting Illini,2014
4th Down Conversion Pct,T-108,0.333,Illinois  Fighting Illini,2014
3rd Down Conversion Pct Defense,104,0.452,Illinois  Fighting Illini,2014
4th Down Conversion Pct Defense,T-53,0.500,Illinois  Fighting Illini,2014
Red Zone Offense,89,0.792,Illinois  Fighting Illini,2014
Red Zone Defense,73,0.842,Illinois  Fighting Illini,2014
Net Punting,36,37.98,Illinois  Fighting Illini,2014
Punt Returns,16,12.95,Illinois  Fighting Illini,2014
Kickoff Returns,93,19.52,Illinois  Fighting Illini,2014
First Downs Offense,43,288,Illinois  Fighting Illini,2014
First Downs Defense,T-93,284,Illinois  Fighting Illini,2014
Fewest Penalties Per Game,76,5.83,Illinois  Fighting Illini,2014
Fewest Penalty Yards Per Game,65,46.92,Illinois  Fighting Illini,2014
Time of Possession,82,29:11,Illinois  Fighting Illini,2014
Total Offense,9,508.5,Indiana  Hoosiers,2014
Rushing Offense,30,201.8,Indiana  Hoosiers,2014
Passing Offense,17,306.7,Indiana  Hoosiers,2014
Team Passing Efficiency,32,144.45,Indiana  Hoosiers,2014
Scoring Offense,16,38.4,Indiana  Hoosiers,2014
Total Defense,120,527.9,Indiana  Hoosiers,2014
Rushing Defense,115,237.8,Indiana  Hoosiers,2014
Passing Yards Allowed,118,290.2,Indiana  Hoosiers,2014
Team Passing Efficiency Defense,103,147.15,Indiana  Hoosiers,2014
Scoring Defense,114,38.8,Indiana  Hoosiers,2014
Turnover Margin,T-79,-0.25,Indiana  Hoosiers,2014
3rd Down Conversion Pct,23,0.467,Indiana  Hoosiers,2014
4th Down Conversion Pct,T-57,0.500,Indiana  Hoosiers,2014
3rd Down Conversion Pct Defense,113,0.465,Indiana  Hoosiers,2014
4th Down Conversion Pct Defense,38,0.448,Indiana  Hoosiers,2014
Red Zone Offense,T-62,0.821,Indiana  Hoosiers,2014
Red Zone Defense,T-80,0.846,Indiana  Hoosiers,2014
Net Punting,98,35.37,Indiana  Hoosiers,2014
Punt Returns,15,13.00,Indiana  Hoosiers,2014
Kickoff Returns,70,21.04,Indiana  Hoosiers,2014
First Downs Offense,35,300,Indiana  Hoosiers,2014
First Downs Defense,120,310,Indiana  Hoosiers,2014
Fewest Penalties Per Game,46,5.17,Indiana  Hoosiers,2014
Fewest Penalty Yards Per Game,T-44,42.92,Indiana  Hoosiers,2014
Time of Possession,120,25:48,Indiana  Hoosiers,2014
Total Offense,84,377.0,Iowa  Hawkeyes,2014
Rushing Offense,50,179.9,Iowa  Hawkeyes,2014
Passing Offense,T-93,197.1,Iowa  Hawkeyes,2014
Team Passing Efficiency,83,122.91,Iowa  Hawkeyes,2014
Scoring Offense,80,26.3,Iowa  Hawkeyes,2014
Total Defense,6,303.1,Iowa  Hawkeyes,2014
Rushing Defense,19,128.4,Iowa  Hawkeyes,2014
Passing Yards Allowed,9,174.7,Iowa  Hawkeyes,2014
Team Passing Efficiency Defense,17,113.36,Iowa  Hawkeyes,2014
Scoring Defense,9,18.9,Iowa  Hawkeyes,2014
Turnover Margin,68,-0.08,Iowa  Hawkeyes,2014
3rd Down Conversion Pct,41,0.436,Iowa  Hawkeyes,2014
4th Down Conversion Pct,116,0.294,Iowa  Hawkeyes,2014
3rd Down Conversion Pct Defense,31,0.357,Iowa  Hawkeyes,2014
4th Down Conversion Pct Defense,85,0.571,Iowa  Hawkeyes,2014
Red Zone Offense,105,0.759,Iowa  Hawkeyes,2014
Red Zone Defense,87,0.857,Iowa  Hawkeyes,2014
Net Punting,48,37.46,Iowa  Hawkeyes,2014
Punt Returns,10,14.04,Iowa  Hawkeyes,2014
Kickoff Returns,55,21.97,Iowa  Hawkeyes,2014
First Downs Offense,72,256,Iowa  Hawkeyes,2014
First Downs Defense,7,207,Iowa  Hawkeyes,2014
Fewest Penalties Per Game,T-8,4.00,Iowa  Hawkeyes,2014
Fewest Penalty Yards Per Game,9,32.69,Iowa  Hawkeyes,2014
Time of Possession,37,31:14,Iowa  Hawkeyes,2014
Total Offense,96,363.0,Iowa St. Cyclones,2014
Rushing Offense,89,143.8,Iowa St. Cyclones,2014
Passing Offense,76,219.2,Iowa St. Cyclones,2014
Team Passing Efficiency,96,117.50,Iowa St. Cyclones,2014
Scoring Offense,89,24.8,Iowa St. Cyclones,2014
Total Defense,105,463.1,Iowa St. Cyclones,2014
